"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
74.7,6.9,200,"BS10 6HD","BS10 6","BRISTOL","CITY OF BRISTOL"
80.2,8.5,200,"BS10 6HE","BS10 6","BRISTOL","CITY OF BRISTOL"
106.5,9.2,200,"BS10 6HF","BS10 6","BRISTOL","CITY OF BRISTOL"
92.6,2.6,200,"BS10 6HG","BS10 6","BRISTOL","CITY OF BRISTOL"
16.5,16.5,16.5,"BS10 6HL","BS10 6","BRISTOL","CITY OF BRISTOL"
70.8,9.1,200,"BS10 6HN","BS10 6","BRISTOL","CITY OF BRISTOL"
82.5,5,200,"BS10 6HR","BS10 6","BRISTOL","CITY OF BRISTOL"
96,40,200,"BS10 6HU","BS10 6","BRISTOL","CITY OF BRISTOL"
76.1,7,200,"BS10 6HX","BS10 6","BRISTOL","CITY OF BRISTOL"
68,6.5,200,"BS10 6HZ","BS10 6","BRISTOL","CITY OF BRISTOL"
69.2,2.2,200,"BS10 6JA","BS10 6","BRISTOL","CITY OF BRISTOL"
34.9,5.9,70,"BS10 6JB","BS10 6","BRISTOL","CITY OF BRISTOL"
69.2,0.3,200,"BS10 6JE","BS10 6","BRISTOL","CITY OF BRISTOL"
78.1,5.1,200,"BS10 6JN","BS10 6","BRISTOL","CITY OF BRISTOL"
109.2,10.5,200,"BS10 6JP","BS10 6","BRISTOL","CITY OF BRISTOL"
55.3,8.6,150,"BS10 6JS","BS10 6","BRISTOL","CITY OF BRISTOL"
48.9,5.4,106.3,"BS10 6JU","BS10 6","BRISTOL","CITY OF BRISTOL"
73.8,7.8,200,"BS10 6JW","BS10 6","BRISTOL","CITY OF BRISTOL"
101.6,4.9,200,"BS10 6JX","BS10 6","BRISTOL","CITY OF BRISTOL"
85.9,8.9,200,"BS10 6JZ","BS10 6","BRISTOL","CITY OF BRISTOL"
71.8,4.9,200,"BS10 6LD","BS10 6","BRISTOL","CITY OF BRISTOL"
59.4,5.4,200,"BS10 6LE","BS10 6","BRISTOL","CITY OF BRISTOL"
101.7,4.5,200,"BS10 6LF","BS10 6","BRISTOL","CITY OF BRISTOL"
74.2,4.7,200,"BS10 6LG","BS10 6","BRISTOL","CITY OF BRISTOL"
53.5,4.3,106.3,"BS10 6LH","BS10 6","BRISTOL","CITY OF BRISTOL"
94.3,5.2,200,"BS10 6LL","BS10 6","BRISTOL","CITY OF BRISTOL"
60,2.6,200,"BS10 6LN","BS10 6","BRISTOL","CITY OF BRISTOL"
58.7,0.5,150,"BS10 6LP","BS10 6","BRISTOL","CITY OF BRISTOL"
73.1,7.1,200,"BS10 6LR","BS10 6","BRISTOL","CITY OF BRISTOL"
59.1,3.5,200,"BS10 6LS","BS10 6","BRISTOL","CITY OF BRISTOL"
79.4,3.2,200,"BS10 6LT","BS10 6","BRISTOL","CITY OF BRISTOL"
61.9,3.8,200,"BS10 6LU","BS10 6","BRISTOL","CITY OF BRISTOL"
83.3,4.1,200,"BS10 6LW","BS10 6","BRISTOL","CITY OF BRISTOL"
61.5,4.9,200,"BS10 6LX","BS10 6","BRISTOL","CITY OF BRISTOL"
70.4,5.1,200,"BS10 6LZ","BS10 6","BRISTOL","CITY OF BRISTOL"
